sample_id,patch_name,image_path,mask_path,fov_path,patch_y,patch_x,patch_size,stride,fov_ratio,vessel_area,skeleton_len,junction_count,endpoint_count,component_count,endpoint_eff,sci_raw,sci_stable,sci_base,topo_density,sci_topo,sci_raw_norm,sci_stable_norm,sci_base_norm,topo_density_norm,sci_topo_norm,sci_area_trend,sci_res,sci_res_norm,sci_fov_trend,sci_res2,sci_res2_norm
21,21_y64_x64.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,64,128,64,0.831726,2507,507,12,9,2,5,0.2022337447058885,0.18418128035716613,0.18418128035716613,0.03007889487023876,0.19526121909502447,0.023395584896206856,0.028576744720339775,0.028576744720339775,0.503588855266571,0.030283644795417786,0.26715269684791565,-0.07189147174358368,0.3177974820137024,-0.04777625575661659,-0.024115215986967087,0.4269723892211914
21,21_y64_x128.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,128,128,64,0.990601,3381,723,15,14,3,8,0.21384205793007377,0.19379058362166182,0.19379058362166182,0.028769017582724515,0.2049409130368179,0.043357789516448975,0.05270502343773842,0.05270502343773842,0.46794062852859497,0.053159523755311966,0.221592977643013,-0.01665206253528595,0.4723968207836151,0.009634699672460556,-0.026286762207746506,0.42049455642700195
21,21_y64_x192.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,192,128,64,1.0,2669,670,11,12,3,6,0.2510303475045697,0.22396748978731745,0.22396748978731745,0.024029850387614175,0.23473130032987494,0.10730850696563721,0.12847702205181122,0.12847702205181122,0.33896440267562866,0.12356273829936981,0.2576146125793457,-0.022883310914039612,0.45495733618736267,0.017021436244249344,-0.039904747158288956,0.3798713982105255
21,21_y64_x256.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,256,128,64,1.0,2471,691,11,19,4,11,0.2796438677472931,0.24658181089641804,0.24658181089641804,0.02800289395075407,0.2603918194978526,0.15651363134384155,0.18525990843772888,0.18525990843772888,0.44709059596061707,0.18420591950416565,0.2693558633327484,-0.00896403193473816,0.4939134120941162,0.017021436244249344,-0.025985468178987503,0.42139333486557007
21,21_y64_x320.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,64,320,128,64,0.964294,1959,582,8,15,4,7,0.2970903507039798,0.26012356420643656,0.26012356420643656,0.025687284782005416,0.2734873003509986,0.1865154206752777,0.2192622423171997,0.2192622423171997,0.384071409702301,0.2151542603969574,0.3047213852405548,-0.03123408555984497,0.4315858781337738,-0.008670290000736713,-0.022563796490430832,0.4316003620624542
21,21_y128_x64.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,64,128,64,0.99762,3394,684,19,15,4,7,0.20153211490414816,0.18359750484603535,0.18359750484603535,0.03793859593657024,0.1975283679486678,0.02218901738524437,0.02711094729602337,0.02711094729602337,0.7174902558326721,0.035641539841890335,0.22100836038589478,-0.023479998111724854,0.45328736305236816,0.015108820982277393,-0.03858881816267967,0.3837968707084656
21,21_y128_x128.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,128,128,64,1.0,3194,748,16,18,4,10,0.23418910383785502,0.21041415834362076,0.21041415834362076,0.03208556106837485,0.22391667099799067,0.07834751158952713,0.0944455936551094,0.0944455936551094,0.5582001805305481,0.09800465404987335,0.23026055097579956,-0.0063438862562179565,0.501246452331543,0.017021436244249344,-0.0233653225004673,0.4292093813419342
21,21_y128_x192.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,192,128,64,1.0,2420,655,11,14,3,8,0.27066115590635886,0.2395373602096873,0.2395373602096873,0.025648854570246498,0.2518250780420053,0.1410665214061737,0.1675718128681183,0.1675718128681183,0.38302552700042725,0.16396020352840424,0.27253258228302,-0.020707517862319946,0.4610467553138733,0.017021436244249344,-0.03772895410656929,0.38636189699172974
21,21_y128_x256.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,256,128,64,1.0,1924,616,8,16,4,8,0.3201663185022541,0.2777577275264332,0.2777577275264332,0.024837661934453543,0.29155543259840044,0.22619792819023132,0.2635403871536255,0.2635403871536255,0.36094895005226135,0.2578544318675995,0.30746710300445557,-0.01591166853904724,0.4744689464569092,0.017021436244249344,-0.032933104783296585,0.4006681740283966
21,21_y128_x320.png,C:\Users\zhang\Desktop\vessel\images\21_training.tif,C:\Users\zhang\Desktop\vessel\1st_manual\21_manual1.gif,C:\Users\zhang\Desktop\vessel\mask\21_training_mask.gif,128,320,128,64,1.0,1136,513,6,16,6,4,0.45158450306703785,0.37265572053996676,0.37265572053996676,0.029044833741816108,0.3943031674320068,0.4521908164024353,0.5018222332000732,0.5018222332000732,0.4754469096660614,0.5006767511367798,0.38770171999931335,0.006601452827453613,0.5374767780303955,0.017021436244249344,-0.01041998341679573,0.4678260087966919
